;id;open tasks;sink;source;time;x;y
0;0;[3],[1];(11, 7);(0, 1);0;0;1
1;1;[1],[3];(11, 10);(0, 4);0;0;4
2;2;[2],[1];(11, 7);(0, 7);0;0;7
3;3;[3],[2];(11, 7);(0, 4);0;0;4
4;0;[3],[1];(11, 7);(0, 1);1;1;1
5;1;[1],[3];(11, 10);(0, 4);1;1;4
6;2;[2],[1];(11, 7);(0, 7);1;0;6
7;3;[3],[2];(11, 7);(0, 4);1;0;3
8;4;[2],[1];(11, 1);(0, 7);1;0;7
9;5;[2],[3];(11, 1);(0, 7);1;0;7
10;6;[3],[3];(11, 4);(0, 10);1;0;10
11;7;[3],[1];(11, 7);(0, 1);1;0;1
12;0;[3],[1];(11, 7);(0, 1);2;2;1
13;1;[1],[3];(11, 10);(0, 4);2;2;4
14;2;[2],[1];(11, 7);(0, 7);2;1;6
15;3;[3],[2];(11, 7);(0, 4);2;1;3
16;4;[2],[1];(11, 1);(0, 7);2;0;6
17;5;[2],[3];(11, 1);(0, 7);2;0;6
18;6;[3],[3];(11, 4);(0, 10);2;0;9
19;7;[3],[1];(11, 7);(0, 1);2;1;1
20;8;[2],[1];(11, 1);(0, 10);2;0;10
21;9;[1],[2];(11, 1);(0, 1);2;0;1
22;10;[1],[2];(11, 1);(0, 1);2;0;1
23;11;[3],[3];(11, 7);(0, 10);2;0;10
24;0;[3],[1];(11, 7);(0, 1);3;3;1
25;1;[1],[3];(11, 10);(0, 4);3;3;4
26;2;[2],[1];(11, 7);(0, 7);3;2;6
27;3;[3],[2];(11, 7);(0, 4);3;1;2
28;4;[2],[1];(11, 1);(0, 7);3;1;6
29;5;[2],[3];(11, 1);(0, 7);3;1;6
30;6;[3],[3];(11, 4);(0, 10);3;1;9
31;7;[3],[1];(11, 7);(0, 1);3;2;1
32;8;[2],[1];(11, 1);(0, 10);3;0;11
33;9;[1],[2];(11, 1);(0, 1);3;0;2
34;10;[1],[2];(11, 1);(0, 1);3;0;2
35;11;[3],[3];(11, 7);(0, 10);3;0;9
36;12;[1],[3];(11, 4);(0, 1);3;0;1
37;13;[2],[1];(11, 1);(0, 4);3;0;4
38;14;[1],[1];(11, 1);(0, 1);3;0;1
39;15;[2],[1];(11, 7);(0, 4);3;0;4
40;0;[3],[1];(11, 7);(0, 1);4;3;1
41;1;[1],[3];(11, 10);(0, 4);4;3;4
42;2;[2],[1];(11, 7);(0, 7);4;2;5
43;3;[3],[2];(11, 7);(0, 4);4;2;2
44;4;[2],[1];(11, 1);(0, 7);4;2;6
45;5;[2],[3];(11, 1);(0, 7);4;2;6
46;6;[3],[3];(11, 4);(0, 10);4;1;8
47;7;[3],[1];(11, 7);(0, 1);4;3;1
48;8;[2],[1];(11, 1);(0, 10);4;1;11
49;9;[1],[2];(11, 1);(0, 1);4;0;3
50;10;[1],[2];(11, 1);(0, 1);4;0;3
51;11;[3],[3];(11, 7);(0, 10);4;1;9
52;12;[1],[3];(11, 4);(0, 1);4;0;2
53;13;[2],[1];(11, 1);(0, 4);4;0;3
54;14;[1],[1];(11, 1);(0, 1);4;0;2
55;15;[2],[1];(11, 7);(0, 4);4;0;3
56;16;[3],[2];(11, 10);(0, 7);4;0;7
57;17;[3],[1];(11, 10);(0, 7);4;0;7
58;18;[1],[1];(11, 10);(0, 1);4;0;1
59;19;[1],[3];(11, 4);(0, 10);4;0;10
60;0;[3],[1];(11, 7);(0, 1);5;3;2
61;1;[1],[3];(11, 10);(0, 4);5;3;3
62;2;[2],[1];(11, 7);(0, 7);5;2;4
63;3;[3],[2];(11, 7);(0, 4);5;2;2
64;4;[2],[1];(11, 1);(0, 7);5;2;5
65;5;[2],[3];(11, 1);(0, 7);5;2;5
66;6;[3],[3];(11, 4);(0, 10);5;1;7
67;7;[3],[1];(11, 7);(0, 1);5;3;1
68;8;[2],[1];(11, 1);(0, 10);5;2;11
69;9;[1],[2];(11, 1);(0, 1);5;1;3
70;10;[1],[2];(11, 1);(0, 1);5;1;3
71;11;[3],[3];(11, 7);(0, 10);5;1;8
72;12;[1],[3];(11, 4);(0, 1);5;0;3
73;13;[2],[1];(11, 1);(0, 4);5;0;2
74;14;[1],[1];(11, 1);(0, 1);5;0;3
75;15;[2],[1];(11, 7);(0, 4);5;0;2
76;16;[3],[2];(11, 10);(0, 7);5;1;7
77;17;[3],[1];(11, 10);(0, 7);5;1;7
78;18;[1],[1];(11, 10);(0, 1);5;0;2
79;19;[1],[3];(11, 4);(0, 10);5;1;10
80;0;[3],[1];(11, 7);(0, 1);6;3;2
81;1;[1],[3];(11, 10);(0, 4);6;3;3
82;2;[2],[1];(11, 7);(0, 7);6;3;4
83;3;[3],[2];(11, 7);(0, 4);6;3;2
84;4;[2],[1];(11, 1);(0, 7);6;2;4
85;5;[2],[3];(11, 1);(0, 7);6;2;4
86;6;[3],[3];(11, 4);(0, 10);6;1;6
87;7;[3],[1];(11, 7);(0, 1);6;3;1
88;8;[2],[1];(11, 1);(0, 10);6;3;11
89;9;[1],[2];(11, 1);(0, 1);6;2;3
90;10;[1],[2];(11, 1);(0, 1);6;2;3
91;11;[3],[3];(11, 7);(0, 10);6;1;7
92;12;[1],[3];(11, 4);(0, 1);6;1;3
93;13;[2],[1];(11, 1);(0, 4);6;1;2
94;14;[1],[1];(11, 1);(0, 1);6;1;3
95;15;[2],[1];(11, 7);(0, 4);6;1;2
96;16;[3],[2];(11, 10);(0, 7);6;1;6
97;17;[3],[1];(11, 10);(0, 7);6;1;6
98;18;[1],[1];(11, 10);(0, 1);6;0;3
99;19;[1],[3];(11, 4);(0, 10);6;1;9
100;0;[3],[1];(11, 7);(0, 1);7;3;2
101;1;[3];(11, 10);(0, 4);7;3;3
102;2;[2],[1];(11, 7);(0, 7);7;3;3
103;3;[3],[2];(11, 7);(0, 4);7;3;2
104;4;[2],[1];(11, 1);(0, 7);7;3;4
105;5;[2],[3];(11, 1);(0, 7);7;3;4
106;6;[3],[3];(11, 4);(0, 10);7;1;5
107;7;[3],[1];(11, 7);(0, 1);7;3;1
108;8;[2],[1];(11, 1);(0, 10);7;4;11
109;9;[1],[2];(11, 1);(0, 1);7;3;3
110;10;[1],[2];(11, 1);(0, 1);7;2;3
111;11;[3],[3];(11, 7);(0, 10);7;1;6
112;12;[1],[3];(11, 4);(0, 1);7;2;3
113;13;[2],[1];(11, 1);(0, 4);7;2;2
114;14;[1],[1];(11, 1);(0, 1);7;2;3
115;15;[2],[1];(11, 7);(0, 4);7;2;2
116;16;[3],[2];(11, 10);(0, 7);7;1;5
117;17;[3],[1];(11, 10);(0, 7);7;1;5
118;18;[1],[1];(11, 10);(0, 1);7;1;3
119;19;[1],[3];(11, 4);(0, 10);7;2;9
120;0;[1];(11, 7);(0, 1);8;3;2
121;1;[3];(11, 10);(0, 4);8;3;3
122;2;[2],[1];(11, 7);(0, 7);8;3;2
123;3;[3],[2];(11, 7);(0, 4);8;3;2
124;4;[2],[1];(11, 1);(0, 7);8;3;3
125;5;[2],[3];(11, 1);(0, 7);8;3;3
126;6;[3],[3];(11, 4);(0, 10);8;2;5
127;7;[3],[1];(11, 7);(0, 1);8;2;1
128;8;[2],[1];(11, 1);(0, 10);8;5;11
129;9;[1],[2];(11, 1);(0, 1);8;3;4
