;id;items in queue;process type;time;x;y
0;0;[];0;0;0;0
1;1;[];0;0;0;1
2;2;[];0;0;0;2
3;3;[];0;0;0;3
4;4;[];0;0;0;4
5;5;[];0;0;0;5
6;6;[];0;0;0;6
7;7;[];0;0;0;7
8;8;[];0;0;0;8
9;9;[];0;0;0;9
10;10;[];0;0;0;10
11;11;[];0;0;0;11
12;12;[];0;0;1;0
13;13;[];0;0;1;1
14;14;[];0;0;1;2
15;15;[];0;0;1;3
16;16;[];0;0;1;4
17;17;[];0;0;1;5
18;18;[];0;0;1;6
19;19;[];0;0;1;7
20;20;[];0;0;1;8
21;21;[];0;0;1;9
22;22;[];0;0;1;10
23;23;[];0;0;1;11
24;24;[];0;0;2;0
25;25;[];0;0;2;1
26;26;[];2;0;2;2
27;27;[];0;0;2;3
28;28;[];0;0;2;4
29;29;[];0;0;2;5
30;30;[];0;0;2;6
31;31;[];0;0;2;7
32;32;[];0;0;2;8
33;33;[];0;0;2;9
34;34;[];0;0;2;10
35;35;[];0;0;2;11
36;36;[];0;0;3;0
37;37;[];0;0;3;1
38;38;[];3;0;3;2
39;39;[];0;0;3;3
40;40;[];0;0;3;4
41;41;[];0;0;3;5
42;42;[];0;0;3;6
43;43;[];0;0;3;7
44;44;[];0;0;3;8
45;45;[];0;0;3;9
46;46;[];0;0;3;10
47;47;[];0;0;3;11
48;48;[];0;0;4;0
49;49;[];0;0;4;1
50;50;[];0;0;4;2
51;51;[];0;0;4;3
52;52;[];0;0;4;4
53;53;[];0;0;4;5
54;54;[];0;0;4;6
55;55;[];0;0;4;7
56;56;[];0;0;4;8
57;57;[];0;0;4;9
58;58;[];0;0;4;10
59;59;[];0;0;4;11
60;60;[];0;0;5;0
61;61;[];0;0;5;1
62;62;[];0;0;5;2
63;63;[];0;0;5;3
64;64;[];0;0;5;4
65;65;[];0;0;5;5
66;66;[];0;0;5;6
67;67;[];0;0;5;7
68;68;[];0;0;5;8
69;69;[];0;0;5;9
70;70;[];0;0;5;10
71;71;[];0;0;5;11
72;72;[];0;0;6;0
73;73;[];0;0;6;1
74;74;[];0;0;6;2
75;75;[];0;0;6;3
76;76;[];0;0;6;4
77;77;[];0;0;6;5
78;78;[];1;0;6;6
79;79;[];0;0;6;7
80;80;[];0;0;6;8
81;81;[];0;0;6;9
82;82;[];0;0;6;10
83;83;[];0;0;6;11
84;84;[];0;0;7;0
85;85;[];1;0;7;1
86;86;[];0;0;7;2
87;87;[];0;0;7;3
88;88;[];0;0;7;4
89;89;[];0;0;7;5
90;90;[];0;0;7;6
91;91;[];0;0;7;7
92;92;[];2;0;7;8
93;93;[];0;0;7;9
94;94;[];0;0;7;10
95;95;[];0;0;7;11
96;96;[];0;0;8;0
97;97;[];0;0;8;1
98;98;[];0;0;8;2
99;99;[];0;0;8;3
100;100;[];0;0;8;4
101;101;[];0;0;8;5
102;102;[];0;0;8;6
103;103;[];0;0;8;7
104;104;[];0;0;8;8
105;105;[];0;0;8;9
106;106;[];0;0;8;10
107;107;[];0;0;8;11
108;108;[];0;0;9;0
109;109;[];0;0;9;1
110;110;[];3;0;9;2
111;111;[];0;0;9;3
112;112;[];0;0;9;4
113;113;[];0;0;9;5
114;114;[];0;0;9;6
115;115;[];0;0;9;7
116;116;[];0;0;9;8
117;117;[];0;0;9;9
118;118;[];0;0;9;10
119;119;[];0;0;9;11
120;120;[];0;0;10;0
121;121;[];0;0;10;1
122;122;[];0;0;10;2
123;123;[];0;0;10;3
124;124;[];0;0;10;4
125;125;[];0;0;10;5
126;126;[];0;0;10;6
127;127;[];0;0;10;7
128;128;[];0;0;10;8
129;129;[];0;0;10;9
130;130;[];0;0;10;10
131;131;[];0;0;10;11
132;132;[];0;0;11;0
133;133;[];0;0;11;1
134;134;[];0;0;11;2
135;135;[];0;0;11;3
136;136;[];0;0;11;4
137;137;[];0;0;11;5
138;138;[];0;0;11;6
139;139;[];0;0;11;7
140;140;[];0;0;11;8
141;141;[];0;0;11;9
142;142;[];0;0;11;10
143;143;[];0;0;11;11
144;0;[];0;1;0;0
145;1;[];0;1;0;1
146;2;[];0;1;0;2
147;3;[];0;1;0;3
148;4;[];0;1;0;4
149;5;[];0;1;0;5
150;6;[];0;1;0;6
151;7;[];0;1;0;7
152;8;[];0;1;0;8
153;9;[];0;1;0;9
154;10;[];0;1;0;10
155;11;[];0;1;0;11
156;12;[];0;1;1;0
157;13;[];0;1;1;1
158;14;[];0;1;1;2
159;15;[];0;1;1;3
160;16;[];0;1;1;4
161;17;[];0;1;1;5
162;18;[];0;1;1;6
163;19;[];0;1;1;7
164;20;[];0;1;1;8
165;21;[];0;1;1;9
166;22;[];0;1;1;10
167;23;[];0;1;1;11
168;24;[];0;1;2;0
169;25;[];0;1;2;1
170;26;[];2;1;2;2
171;27;[];0;1;2;3
172;28;[];0;1;2;4
173;29;[];0;1;2;5
174;30;[];0;1;2;6
175;31;[];0;1;2;7
176;32;[];0;1;2;8
177;33;[];0;1;2;9
178;34;[];0;1;2;10
179;35;[];0;1;2;11
180;36;[];0;1;3;0
181;37;[];0;1;3;1
182;38;[];3;1;3;2
183;39;[];0;1;3;3
184;40;[];0;1;3;4
185;41;[];0;1;3;5
186;42;[];0;1;3;6
187;43;[];0;1;3;7
188;44;[];0;1;3;8
189;45;[];0;1;3;9
190;46;[];0;1;3;10
191;47;[];0;1;3;11
192;48;[];0;1;4;0
193;49;[];0;1;4;1
194;50;[];0;1;4;2
195;51;[];0;1;4;3
196;52;[];0;1;4;4
197;53;[];0;1;4;5
198;54;[];0;1;4;6
199;55;[];0;1;4;7
200;56;[];0;1;4;8
201;57;[];0;1;4;9
202;58;[];0;1;4;10
203;59;[];0;1;4;11
204;60;[];0;1;5;0
205;61;[];0;1;5;1
206;62;[];0;1;5;2
207;63;[];0;1;5;3
208;64;[];0;1;5;4
209;65;[];0;1;5;5
210;66;[];0;1;5;6
211;67;[];0;1;5;7
212;68;[];0;1;5;8
213;69;[];0;1;5;9
214;70;[];0;1;5;10
215;71;[];0;1;5;11
216;72;[];0;1;6;0
217;73;[];0;1;6;1
218;74;[];0;1;6;2
219;75;[];0;1;6;3
220;76;[];0;1;6;4
221;77;[];0;1;6;5
222;78;[];1;1;6;6
223;79;[];0;1;6;7
224;80;[];0;1;6;8
225;81;[];0;1;6;9
226;82;[];0;1;6;10
227;83;[];0;1;6;11
228;84;[];0;1;7;0
229;85;[];1;1;7;1
230;86;[];0;1;7;2
231;87;[];0;1;7;3
232;88;[];0;1;7;4
233;89;[];0;1;7;5
234;90;[];0;1;7;6
235;91;[];0;1;7;7
236;92;[];2;1;7;8
237;93;[];0;1;7;9
238;94;[];0;1;7;10
239;95;[];0;1;7;11
240;96;[];0;1;8;0
241;97;[];0;1;8;1
242;98;[];0;1;8;2
243;99;[];0;1;8;3
244;100;[];0;1;8;4
245;101;[];0;1;8;5
246;102;[];0;1;8;6
247;103;[];0;1;8;7
248;104;[];0;1;8;8
249;105;[];0;1;8;9
250;106;[];0;1;8;10
251;107;[];0;1;8;11
252;108;[];0;1;9;0
253;109;[];0;1;9;1
254;110;[];3;1;9;2
255;111;[];0;1;9;3
256;112;[];0;1;9;4
257;113;[];0;1;9;5
258;114;[];0;1;9;6
259;115;[];0;1;9;7
260;116;[];0;1;9;8
261;117;[];0;1;9;9
262;118;[];0;1;9;10
263;119;[];0;1;9;11
264;120;[];0;1;10;0
265;121;[];0;1;10;1
266;122;[];0;1;10;2
267;123;[];0;1;10;3
268;124;[];0;1;10;4
269;125;[];0;1;10;5
270;126;[];0;1;10;6
271;127;[];0;1;10;7
272;128;[];0;1;10;8
273;129;[];0;1;10;9
274;130;[];0;1;10;10
275;131;[];0;1;10;11
276;132;[];0;1;11;0
277;133;[];0;1;11;1
278;134;[];0;1;11;2
279;135;[];0;1;11;3
280;136;[];0;1;11;4
281;137;[];0;1;11;5
282;138;[];0;1;11;6
283;139;[];0;1;11;7
284;140;[];0;1;11;8
285;141;[];0;1;11;9
286;142;[];0;1;11;10
287;143;[];0;1;11;11
288;0;[];0;2;0;0
289;1;[];0;2;0;1
290;2;[];0;2;0;2
291;3;[];0;2;0;3
292;4;[];0;2;0;4
293;5;[];0;2;0;5
294;6;[];0;2;0;6
295;7;[];0;2;0;7
296;8;[];0;2;0;8
